Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
261,0.019157088122605352,1
136,0.03750000000004278,1
108,0.04722222222227609,1
108,0.04722222222227609,1
114,0.04473684210531419,1
105,0.04857142857148397,1
105,0.04857142857148397,1
117,0.04358974358979331,1
108,0.04722222222227609,1
105,0.04857142857148397,1
108,0.04722222222227609,1
102,0.050000000000057034,1
130,0.03923076923081398,1
138,0.03695652173917259,1
135,0.03777777777782087,1
109,0.04678899082574144,1
105,0.04857142857148397,1
104,0.04903846153851747,1
105,0.04857142857148397,1
118,0.04322033898310015,1
133,0.03834586466169787,1
131,0.03893129770996807,1
121,0.04214876033062659,1
102,0.050000000000057034,1
104,0.04903846153851747,1
110,0.046363636363689245,1
105,0.04857142857148397,1
104,0.04903846153851747,1
119,0.04285714285719174,1
136,0.03750000000004278,1
132,0.038636363636407704,1
116,0.043965517241429455,1
104,0.04903846153851747,1
120,0.04250000000004848,1
139,0.03669064748205624,1
122,0.041803278688572275,1
124,0.04112903225811143,1
139,0.03669064748205624,1
121,0.04214876033062659,1
120,0.04250000000004848,1
121,0.04214876033062659,1
103,0.049514563106852594,1
105,0.04857142857148397,1
115,0.0443478260870071,1
236,0.021610169491550073,1
150,0.034000000000038784,1
110,0.046363636363689245,1
112,0.04553571428576623,1
111,0.04594594594599835,1
105,0.04857142857148397,1
109,0.04678899082574144,1
125,0.040800000000046535,1
107,0.04766355140192353,1
111,0.04594594594599835,1
121,0.04214876033062659,1
120,0.04250000000004848,1
105,0.04857142857148397,1
114,0.04473684210531419,1
122,0.041803278688572275,1
106,0.04811320754722469,1
108,0.04722222222227609,1
104,0.04903846153851747,1
109,0.04678899082574144,1
139,0.03669064748205624,1
136,0.03750000000004278,1
107,0.04766355140192353,1
108,0.04722222222227609,1
121,0.04214876033062659,1
133,0.03834586466169787,1
136,0.03750000000004278,1
107,0.04766355140192353,1
111,0.04594594594599835,1
122,0.041803278688572275,1
112,0.04553571428576623,1
106,0.04811320754722469,1
106,0.04811320754722469,1
109,0.04678899082574144,1
104,0.04903846153851747,1
110,0.04636363636368925,1
104,0.04903846153851747,1
103,0.049514563106852594,1
109,0.04678899082574144,1
105,0.04857142857148397,1
100,0.05100000000005817,1
127,0.04015748031500643,1
119,0.04285714285719174,1
99,0.05151515151521027,1
97,0.05257731958768884,1
106,0.04811320754722469,1
102,0.050000000000057034,1
99,0.05151515151521027,1
106,0.04811320754722469,1
104,0.04903846153851747,1
102,0.050000000000057034,1
107,0.04766355140192353,1
138,0.03695652173917259,1
125,0.040800000000046535,1
121,0.04214876033062659,1
94,0.05425531914899805,1
120,0.04250000000004848,1
99,0.05151515151521027,1
89,0.05730337078658223,1
103,0.049514563106852594,1
117,0.04358974358979331,1
102,0.050000000000057034,1
135,0.03777777777782087,1
108,0.04722222222227609,1
96,0.053125000000060596,1
112,0.04553571428576623,1
131,0.03893129770996807,1
116,0.043965517241429455,1
111,0.04594594594599835,1
103,0.049514563106852594,1
108,0.04722222222227609,1
114,0.04473684210531419,1
94,0.05425531914899805,1
102,0.050000000000057034,1
119,0.04285714285719174,1
106,0.04811320754722469,1
111,0.04594594594599835,1
104,0.04903846153851747,1
134,0.03805970149258073,1
120,0.04250000000004848,1
112,0.04553571428576623,1
126,0.04047619047623664,1
104,0.04903846153851747,1
115,0.0443478260870071,1
104,0.04903846153851747,1
126,0.04047619047623664,1
126,0.04047619047623665,1
102,0.050000000000057034,1
111,0.04594594594599835,1
103,0.049514563106852594,1
106,0.04811320754722469,1
103,0.049514563106852594,1
134,0.038059701492580734,1
104,0.04903846153851748,1
118,0.04322033898310015,1
104,0.04903846153851747,1
98,0.052040816326589974,1
96,0.053125000000060596,1
100,0.05100000000005817,1
112,0.04553571428576623,1
98,0.052040816326589974,1
103,0.049514563106852594,1
102,0.050000000000057034,1
130,0.03923076923081398,1
116,0.043965517241429455,1
107,0.04766355140192353,1
120,0.04250000000004848,1
101,0.053465346534883953,1
111,0.04594594594599835,1
97,0.05257731958768884,1
103,0.049514563106852594,1
93,0.0548387096774819,1
102,0.050000000000057034,1
103,0.049514563106852594,1
119,0.04285714285719174,1
98,0.052040816326589974,1
102,0.050000000000057034,1
111,0.04594594594599835,1
88,0.05795454545461157,1
102,0.05000000000005705,1
103,0.049514563106852594,1
105,0.04857142857148397,1
105,0.04857142857148397,1
105,0.04857142857148397,1
104,0.04903846153851747,1
102,0.050000000000057034,1
102,0.050000000000057034,1
101,0.05049504950500809,1
100,0.05100000000005817,1
101,0.05049504950500809,1
117,0.04358974358979331,1
115,0.0443478260870071,1
106,0.04811320754722469,1
113,0.04513274336288334,1
104,0.04903846153851747,1
103,0.049514563106852594,1
115,0.0443478260870071,1
106,0.04811320754722469,1
97,0.05257731958768884,1
104,0.04903846153851747,1
110,0.046363636363689245,1
102,0.05000000000005705,1
115,0.0443478260870071,1
108,0.04722222222227609,1
104,0.04903846153851747,1
107,0.04766355140192353,1
118,0.04322033898310015,1
107,0.04766355140192353,1
109,0.04678899082574144,1
105,0.04857142857148397,1
103,0.049514563106852594,1
105,0.04857142857148397,1
111,0.04594594594599835,1
122,0.041803278688572275,1
132,0.03863636363640771,1
102,0.050000000000057034,1
104,0.04903846153851747,1
99,0.05151515151521027,1
95,0.05368421052637704,1
99,0.05151515151521027,1
121,0.04214876033062659,1
95,0.05368421052637702,1
97,0.05257731958768884,1
108,0.04722222222227609,1
108,0.04722222222227609,1
103,0.049514563106852594,1
104,0.04903846153851747,1
110,0.046363636363689245,1
106,0.0481132075472247,1
98,0.052040816326589974,1
95,0.05368421052637704,1
113,0.04513274336288334,1
100,0.05100000000005817,1
103,0.049514563106852594,1
120,0.04250000000004848,1
106,0.04811320754722469,1
114,0.04473684210531419,1
105,0.04857142857148397,1
133,0.03834586466169787,1
106,0.04811320754722469,1
95,0.05368421052637704,1
95,0.049473684210342476,1
118,0.045762711864604066,1
98,0.052040816326589974,1
103,0.049514563106852594,1
104,0.04903846153851747,1
91,0.05604395604401997,1
116,0.043965517241429455,1
116,0.043965517241429455,1
113,0.04513274336288334,1
95,0.053684210526377035,1
107,0.04766355140192353,1
106,0.04622641509428468,1
106,0.049056603773694696,1
106,0.04811320754722469,1
108,0.047222222222276095,1
105,0.04857142857148397,1
110,0.046363636363689245,1
102,0.05000000000005704,1
104,0.04903846153851747,1
123,0.04146341463419364,1
110,0.046363636363689245,1
94,0.05425531914899805,1
120,0.04250000000004848,1
112,0.04553571428576623,1
106,0.04811320754722469,1
125,0.040800000000046535,1
124,0.04112903225811143,1
96,0.053125000000060596,1
107,0.04766355140192353,1
131,0.036641221373956916,1
121,0.04380165289270627,1
115,0.0443478260870071,1
97,0.05257731958768884,1
118,0.04322033898310015,1
94,0.05425531914899805,1
106,0.04811320754722469,1
121,0.04214876033062659,1
105,0.04857142857148397,1
106,0.04811320754722469,1
104,0.04903846153851747,1
103,0.049514563106852594,1
124,0.04112903225811143,1
140,0.03642857142861298,1
137,0.03722627737230524,1
130,0.03923076923081398,1
105,0.04857142857148397,1
105,0.04857142857148397,1
104,0.04903846153851747,1
105,0.04857142857148397,1
115,0.0443478260870071,1
100,0.05100000000005817,1
104,0.04903846153851747,1
113,0.04513274336288334,1
103,0.049514563106852594,1
107,0.04766355140192353,1
134,0.03805970149258073,1
116,0.043965517241429455,1
96,0.053125000000060596,1
114,0.04385964912280699,1
95,0.05368421052637702,1
105,0.04857142857148397,1
100,0.05100000000005817,1
117,0.04358974358979331,1
104,0.04903846153851747,1
108,0.04722222222227609,1
101,0.04851485148509085,1
127,0.040944881889855414,1
121,0.04214876033062659,1
106,0.04811320754722469,1
110,0.046363636363689245,1
104,0.04903846153851747,1
104,0.04903846153851747,1
104,0.04903846153851747,1
104,0.04903846153851747,1
104,0.04903846153851747,1
105,0.04857142857148397,1
100,0.05100000000005817,1
106,0.04811320754722469,1
105,0.04857142857148397,1
125,0.040800000000046535,1
104,0.04903846153851747,1
104,0.04903846153851747,1
104,0.04903846153851747,1
120,0.04250000000004848,1
120,0.04250000000004848,1
107,0.04766355140192353,1
121,0.04214876033062659,1
112,0.04553571428576623,1
111,0.04594594594599835,1
