Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
146,0.03424657534246573,10
141,0.0361702127659987,7
125,0.040800000000046535,6
129,0.03953488372097533,7
119,0.04285714285719174,2
202,0.025247524752504046,8
343,0.014868804664739992,5
345,0.014782608695669035,4
304,0.01677631578949282,5
318,0.016037735849074898,8
313,0.016293929712478648,3
313,0.016293929712478648,7
300,0.017000000000019392,3
262,0.019465648854984034,10
320,0.01593750000001818,1
315,0.016190476190494657,8
315,0.016190476190494657,3
326,0.015644171779158948,10
317,0.01608832807572813,6
271,0.018819188191903386,9
309,0.016504854368950866,10
311,0.016398713826385265,8
406,0.012561576354694135,5
537,0.009497206703921448,7
146,0.034931506849354914,5
141,0.036170212765998716,7
33,0.1545454545456309,1
86,0.05930232558146301,5
121,0.04297520661166643,5
114,0.044736842105314194,6
107,0.0467289719626168,7
135,0.03777777777782087,6
166,0.03072289156630011,4
130,0.039230769230813985,7
111,0.04594594594599835,1
137,0.03722627737230524,1
151,0.03377483443712462,2
116,0.043965517241429455,2
146,0.034931506849354914,1
141,0.03617021276599871,1
106,0.0481132075472247,1
123,0.039837398373936385,2
145,0.0358620689655975,1
170,0.030000000000034218,1
139,0.03669064748205624,1
151,0.03377483443712462,2
136,0.03750000000004278,1
113,0.04513274336288335,1
131,0.03816793893129769,1
141,0.0361702127659987,2
120,0.04250000000004848,1
149,0.034228187919502134,1
158,0.032278481012695044,2
152,0.03355263157898564,1
134,0.038059701492580734,1
130,0.03923076923081398,1
178,0.028651685393291108,15
219,0.023287671232903276,21
175,0.029142857142890388,9
305,0.016721311475428907,16
306,0.016666666666685676,23
437,0.011670480549212396,9
192,0.026562500000030298,8
166,0.030722891566300103,8
132,0.038636363636407704,3
128,0.03984375000004545,7
118,0.043220338983100154,4
159,0.032075471698149796,6
153,0.03333333333337136,2
149,0.03422818791950213,6
155,0.03290322580648914,7
196,0.02602040816329499,5
148,0.03445945945949877,6
128,0.03984375000004545,6
146,0.034931506849354914,4
170,0.030000000000034218,7
138,0.03695652173917259,5
134,0.03805970149258073,7
198,0.025757575757605143,5
141,0.036170212765998716,7
119,0.04285714285719174,8
165,0.030909090909126163,7
181,0.028176795580142636,4
128,0.03984375000004545,9
121,0.04214876033062659,3
156,0.032692307692344984,5
116,0.04396551724142947,4
120,0.04250000000004848,6
153,0.03333333333337135,3
145,0.035172413793143564,3
119,0.04285714285719175,5
171,0.029824561403542792,7
169,0.03017751479293383,3
159,0.032075471698149796,7
162,0.031481481481517394,3
412,0.012378640776713148,10
449,0.011358574610257945,5
