Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
7,0.742857142857143,7
3,1.5666666666666664,3
1,4.000000000000002,1
5,1.2399999999999998,5
3,0.6666666666666666,3
6,1.433333333333333,6
1,0.2000000000000028,1
6,1.4499999999999993,6
5,1.0200000000000002,5
7,0.8285714285714293,7
5,1.6199999999999988,5
3,1.2000000000000028,3
4,2.0749999999999993,4
7,1.3999999999999997,7
5,0.8800000000000011,5
5,1.1399999999999977,5
4,1.3250000000000028,4
8,0.5999999999999996,8
6,0.7999999999999995,6
5,1.1,5
2,1.7000000000000028,2
5,1.2,5
3,0.6999999999999981,3
3,2.833333333333338,3
1,0.2999999999999829,1
7,1.3428571428571436,7
5,0.8800000000000011,5
4,1.5,4
2,0.2000000000000028,2
4,1.875,4
3,1.1333333333333258,3
4,2.1750000000000043,4
1,0.1999999999999886,1
10,0.9400000000000006,10
5,0.9,5
3,1.9666666666666686,3
4,1.1999999999999957,4
9,0.5222222222222241,9
6,0.8499999999999991,6
3,1.7666666666666704,3
5,0.7199999999999989,5
4,1.0749999999999957,4
3,1.1666666666666667,3
6,1.4666666666666686,6
2,0.3000000000000113,2
8,1.1124999999999972,8
7,0.8285714285714302,7
5,1.2,5
1,0.1999999999999886,1
5,1.8400000000000034,5
3,0.6000000000000038,3
3,2.933333333333318,3
2,0.200000000000017,2
8,1.1749999999999972,8
5,0.8600000000000023,5
5,1.1600000000000024,5
3,1.7333333333333296,3
10,0.5800000000000012,10
6,0.8000000000000019,6
4,1.3250000000000028,4
1,3.3999999999999773,1
5,1.2399999999999978,5
3,0.5666666666666819,3
4,2.0749999999999886,4
8,1.2375000000000043,8
7,0.7999999999999952,7
5,1.0200000000000045,5
1,0.3000000000000113,1
4,1.9000000000000057,4
3,1.1666666666666667,3
4,2.0249999999999915,4
12,0.8916666666666657,12
5,0.8400000000000091,5
4,1.375,4
3,1.7666666666666515,3
8,0.5375000000000014,8
6,0.8833333333333352,6
5,1.0799999999999954,5
1,3.300000000000012,1
4,1.1000000000000085,4
3,1.1666666666666667,3
4,2.0999999999999943,4
8,1.2749999999999986,8
7,0.7571428571428588,7
4,1.2249999999999943,4
1,5.300000000000011,1
4,2.0,4
3,1.066666666666663,3
5,1.8,5
2,2.5500000000000114,2
7,1.3714285714285666,7
5,0.8399999999999977,5
5,1.1200000000000045,5
3,1.7666666666666704,3
10,0.5,10
5,0.3199999999999932,5
5,1.6600000000000137,5
3,1.7666666666666515,3
4,1.0250000000000055,4
3,1.0999999999999848,3
5,1.8,5
3,1.7000000000000075,3
6,1.3833333333333446,6
7,0.885714285714276,7
3,1.6000000000000227,3
1,5.199999999999932,1
5,0.9600000000000136,5
3,0.36666666666663633,3
4,2.2250000000000227,4
1,5.199999999999932,1
8,0.5250000000000057,8
5,0.9599999999999909,5
4,1.5,4
5,0.9799999999999954,5
10,0.4800000000000068,10
5,0.8200000000000045,5
5,1.259999999999991,5
3,1.7000000000000075,3
4,1.1500000000000057,4
4,1.375,4
3,3.0,3
2,2.6000000000000227,2
6,1.4333333333333371,6
7,0.8571428571428571,7
3,1.7333333333333105,3
3,1.6666666666666667,3
3,0.9000000000000151,3
3,1.033333333333341,3
3,3.066666666666644,3
5,1.0,5
6,0.8166666666666629,6
6,0.8500000000000038,6
4,1.2750000000000057,4
5,1.059999999999991,5
9,0.5777777777777702,9
5,0.2600000000000136,5
6,1.4833333333333296,6
4,1.299999999999983,4
3,0.9000000000000151,3
5,1.4799999999999955,5
3,1.933333333333356,3
1,5.7999999999999545,1
6,0.7666666666666705,6
8,0.6875,8
3,1.6333333333333258,3
1,5.2999999999999545,1
4,1.1500000000000057,4
4,1.375,4
5,1.0200000000000045,5
2,2.4499999999999886,2
9,0.5222222222222273,9
6,0.8833333333333258,6
4,1.2250000000000227,4
4,1.299999999999983,4
8,0.5875000000000057,8
6,0.8999999999999962,6
4,1.375,4
2,2.75,2
3,1.0,3
4,1.799999999999983,4
3,1.6666666666666667,3
3,1.7000000000000075,3
5,0.8,5
8,0.7749999999999915,8
2,2.3000000000000114,2
1,5.2000000000000455,1
4,1.1499999999999773,4
4,1.4000000000000057,4
2,2.400000000000034,2
1,5.0,1
7,0.7142857142857143,7
7,0.7428571428571331,7
4,1.2750000000000057,4
9,0.5555555555555556,9
11,0.4454545454545434,11
7,0.7285714285714319,7
4,1.2249999999999943,4
2,2.400000000000034,2
6,0.8333333333333334,6
5,1.0399999999999863,5
5,0.8800000000000182,5
2,2.849999999999966,2
6,0.8500000000000038,6
8,0.6999999999999885,8
4,1.3000000000000114,4
2,2.3000000000000114,2
5,1.0999999999999999,5
4,1.75,4
2,2.150000000000034,2
1,5.399999999999977,1
10,0.5499999999999999,10
7,0.7428571428571331,7
5,0.9800000000000182,5
6,0.8666666666666553,6
7,0.7142857142857143,7
7,0.7142857142857142,7
4,1.25,4
3,1.5,3
5,1.1200000000000045,5
4,1.825000000000017,4
2,2.449999999999932,2
4,1.1750000000000114,4
8,0.6875,8
7,0.700000000000013,7
2,2.5499999999999545,2
2,2.2000000000000455,2
6,0.9666666666666591,6
3,1.6333333333333637,3
