Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
15,0.4533333333325572,12
8,0.4375,8
8,0.8250000000007276,5
9,0.5888888888875954,7
13,0.39999999999865676,10
14,0.4071428571436887,13
8,0.6375000000007276,6
8,0.7625000000007276,5
12,0.5500000000004851,9
7,0.7571428571411941,7
8,0.9375,6
9,0.6666666666666665,7
11,0.5818181818202984,10
7,0.5571428571420256,7
6,1.0,5
9,0.6555555555549089,7
12,0.5749999999995149,9
5,1.1,5
10,0.7200000000011642,8
9,0.5666666666673135,8
18,0.372222222222869,15
16,0.3374999999996362,16
5,1.120000000001164,4
12,0.7166666666671517,9
15,0.38666666666589056,13
11,0.5363636363631072,11
5,1.1400000000023283,4
12,0.44166666666569654,9
9,0.6333333333346268,7
10,0.6,10
10,0.7299999999988358,9
9,0.6555555555549089,6
12,0.42500000000048505,9
12,0.4833333333323632,12
4,1.2750000000014552,4
10,0.6,8
13,0.561538461537566,9
9,0.6555555555549089,8
6,1.0666666666656965,5
8,0.4874999999992724,7
16,0.40625,13
9,0.5999999999993533,9
4,1.2750000000014552,4
15,0.5933333333329452,11
16,0.3187500000003638,13
13,0.46153846153846156,12
7,0.8142857142873774,5
8,0.6624999999985448,6
13,0.4769230769239724,9
10,0.6,9
8,0.9375,6
3,0.8333333333333334,3
15,0.5133333333341095,11
13,0.4538461538457061,12
6,1.0,5
8,0.7374999999992723,6
12,0.6416666666676368,8
7,0.7285714285722601,6
8,0.9750000000021828,6
10,0.5299999999988358,9
20,0.33999999999941793,17
13,0.4538461538457061,13
4,1.2249999999985448,3
7,0.6000000000016631,7
15,0.4,12
7,0.6857142857167803,7
10,0.5699999999982538,8
6,0.8666666666686069,4
12,0.4916666666661816,8
7,0.7285714285722601,6
8,0.9000000000014552,6
7,0.7571428571411941,6
17,0.42941176470519754,12
7,0.8000000000008315,7
4,1.0250000000014552,4
6,0.5166666666676368,6
12,0.6583333333328483,8
6,0.9666666666647264,6
8,0.8125,7
8,0.4500000000007276,8
14,0.5214285714277399,12
10,0.6100000000005821,10
7,0.9571428571445202,5
9,0.4888888888882421,9
16,0.3249999999989086,13
7,0.5714285714285714,7
9,0.744444444445738,6
6,0.5833333333333334,5
11,0.5818181818176527,8
9,0.3222222222215755,9
8,0.8375000000014552,7
7,0.6999999999991685,7
14,0.42142857142815565,8
7,0.6857142857167803,7
4,1.25,3
9,0.5555555555555556,8
12,0.44999999999951495,9
3,0.23333333333721384,3
8,1.2124999999978172,6
8,0.5499999999992724,7
16,0.3250000000007276,13
9,0.42222222222092864,9
5,1.1600000000034925,4
10,0.5100000000005821,9
16,0.3249999999989086,13
5,0.7200000000011642,5
7,0.871428571429403,6
10,0.5,7
11,0.5090909090914383,8
5,0.47999999999883586,5
6,1.1666666666666667,5
5,0.5799999999988359,4
13,0.561538461537566,10
8,0.6000000000021828,8
5,1.0200000000011642,4
9,0.5555555555555556,8
10,0.5099999999976716,7
6,0.75,6
8,0.75,6
12,0.35000000000097015,10
11,0.4636363636368928,11
10,0.5,10
6,0.9666666666647264,4
7,0.5857142857151173,7
15,0.35999999999961196,12
9,0.4444444444444444,9
8,0.7250000000021828,7
8,0.625,6
11,0.5,8
8,0.6499999999978172,7
7,0.7142857142857143,5
4,1.2750000000014552,3
13,0.41538461538416765,10
9,0.5111111111117579,9
6,0.9666666666647264,3
5,0.8600000000034924,4
11,0.47272727272568527,8
6,0.9333333333343035,5
7,0.7142857142857143,6
6,0.716666666669577,5
18,0.28888888888791875,15
7,0.6714285714302345,7
9,0.6222222222228689,6
9,0.4888888888882421,9
11,0.45454545454545453,11
10,0.5,10
8,0.7000000000007276,6
6,0.7333333333323632,4
10,0.55,7
8,0.6624999999985448,7
5,0.8200000000011641,5
7,0.7285714285722601,6
11,0.47272727272568527,8
10,0.560000000000582,9
3,1.6666666666666667,2
8,0.5750000000007276,7
14,0.37142857142940294,8
3,1.699999999992239,2
5,1.0400000000023284,3
6,0.7999999999980597,5
17,0.29411764705882354,12
8,0.6749999999992724,7
6,0.8333333333333334,5
13,0.36153846153935704,11
18,0.28888888888791875,14
9,0.5555555555555556,8
6,0.8666666666686069,4
8,0.6124999999992724,6
14,0.34999999999958425,9
11,0.5,10
8,0.6875,6
5,0.9600000000034925,4
14,0.37857142857059706,8
8,0.625,7
5,1.0200000000011642,5
8,0.4874999999992724,7
14,0.44285714285589556,8
2,2.5,1
6,0.8666666666686069,5
8,0.6124999999992724,7
21,0.24761904761821607,15
6,0.7833333333352736,6
8,0.6875,6
13,0.40000000000089553,10
14,0.34285714285839014,10
7,0.7142857142857143,7
9,0.5999999999993533,8
9,0.5444444444437977,7
12,0.43333333333430346,6
4,1.1999999999970896,4
8,0.6749999999992724,7
7,0.6999999999991685,6
16,0.3125,10
6,0.6666666666666666,6
4,1.5,4
9,0.5777777777790712,8
14,0.42857142857142855,8
4,0.9749999999985447,4
8,0.7750000000014552,7
7,0.7142857142857143,6
18,0.2777777777777778,12
5,0.8,5
4,1.5,3
11,0.4636363636368928,10
16,0.3812500000003638,12
8,0.6499999999978172,8
8,0.6375000000007276,5
8,0.5,6
14,0.4357142857147015,8
6,0.8333333333333334,6
6,0.6666666666666666,6
7,0.7142857142857143,6
13,0.469230769231217,7
8,0.625,8
8,0.6375000000007276,6
10,0.41000000000058207,9
14,0.42857142857142855,9
6,0.8166666666656967,6
9,0.6555555555549089,7
6,0.6666666666666666,5
21,0.2952380952386496,16
11,0.45454545454545453,11
7,0.7142857142857143,5
11,0.45454545454545453,8
11,0.41818181818234734,8
8,0.6875,8
12,0.5,10
8,0.5125000000007276,6
11,0.5545454545459837,8
12,0.5,12
11,0.43636363636522385,9
3,1.5,2
16,0.3624999999992724,10
9,0.5555555555555556,9
7,0.6999999999991685,5
5,0.8200000000011641,4
13,0.469230769231217,7
5,0.8200000000011641,5
8,0.7374999999992724,6
6,0.8500000000009701,5
18,0.3611111111111111,12
6,0.8166666666705472,6
4,1.4499999999970896,3
11,0.45454545454545453,9
10,0.5,10
13,0.39230769230814005,13
7,0.6999999999991685,7
8,0.625,6
12,0.4833333333323632,6
4,1.0500000000029104,4
7,0.8000000000008315,7
7,0.6428571428571429,6
14,0.41428571428488276,10
9,0.5555555555555556,9
4,1.4249999999956344,3
7,0.5142857142865458,6
14,0.45714285714244135,8
3,1.4666666666647263,3
6,0.8500000000009701,6
9,0.5444444444437977,8
19,0.2947368421055695,14
8,0.6375000000007276,7
5,1.0600000000034924,4
13,0.38461538461538464,10
14,0.35714285714285715,10
6,0.8833333333313931,5
6,0.8833333333362438,5
6,0.6166666666637562,4
12,0.5500000000004851,6
7,0.7428571428588059,6
8,0.7000000000007276,7
5,0.7,4
15,0.440000000000388,9
7,0.7428571428588059,6
3,1.3333333333333333,3
10,0.5,9
12,0.5,8
5,1.1,4
4,1.1750000000029104,3
6,0.6333333333313931,5
16,0.40625,10
8,0.6375000000007276,7
8,0.6875,7
12,0.3833333333338184,9
12,0.46666666666715173,7
9,0.6222222222228689,8
6,0.8833333333362438,5
8,0.4499999999970896,6
13,0.4923076923094833,7
6,0.8833333333313931,5
6,0.8166666666656965,6
8,0.6124999999992724,7
13,0.43076923076967855,8
9,0.5666666666673135,8
5,1.1,4
6,0.5666666666656965,5
13,0.5076923076927554,8
3,1.7000000000019406,2
6,0.9166666666666666,5
9,0.3888888888888889,8
18,0.36666666666699005,14
