Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
7,0.7142857142857144,7
16,0.38125,16
6,1.0166666666666666,6
18,0.44999999999999996,18
7,0.8428571428571426,7
15,0.5399999999999998,15
6,1.066666666666667,6
16,0.5062500000000001,16
6,1.0,6
17,0.4588235294117645,17
6,0.8833333333333341,6
16,0.5062500000000001,16
6,1.0833333333333333,6
15,0.5400000000000001,15
6,1.0833333333333333,6
16,0.44375000000000053,16
7,0.8571428571428571,7
16,0.4937500000000003,16
6,1.0166666666666682,6
15,0.44000000000000056,15
7,0.9285714285714286,7
14,0.32142857142857145,14
6,1.1000000000000014,6
19,0.42631578947368465,19
7,0.7714285714285722,7
14,0.49285714285714327,14
6,1.0333333333333314,6
17,0.4176470588235291,17
6,1.0,6
16,0.5062499999999996,16
8,0.7874999999999979,8
16,0.4812499999999993,16
6,1.0499999999999972,6
14,0.4571428571428576,14
6,1.099999999999999,6
15,0.26666666666666666,15
7,0.8714285714285707,7
15,0.44666666666666593,15
6,1.0333333333333314,6
18,0.4499999999999997,18
7,0.7999999999999992,7
16,0.39374999999999893,16
6,1.0166666666666657,6
18,0.4499999999999997,18
7,0.8142857142857126,7
14,0.4785714285714298,14
6,1.0666666666666629,6
17,0.47647058823529376,17
6,1.0,6
15,0.47333333333333294,15
6,1.0,6
18,0.4499999999999997,18
6,1.0,6
14,0.471428571428569,14
6,1.0833333333333333,6
16,0.42499999999999716,16
7,0.9000000000000016,7
15,0.42666666666666514,15
6,1.0833333333333333,6
16,0.4499999999999993,16
7,0.8428571428571396,7
15,0.3200000000000008,15
6,1.0666666666666724,6
18,0.28333333333333144,18
7,0.7428571428571412,7
14,0.4857142857142825,14
6,1.0500000000000018,6
17,0.41764705882352743,17
6,0.983333333333339,6
14,0.2714285714285682,14
8,0.7875000000000014,8
15,0.4533333333333303,15
6,1.0500000000000018,6
15,0.5399999999999977,15
6,1.0666666666666629,6
16,0.4187499999999993,16
7,0.914285714285711,7
15,0.45999999999999847,15
6,1.0,6
17,0.4352941176470575,17
7,0.8142857142857126,7
16,0.40625,16
6,1.0833333333333333,6
18,0.4499999999999981,18
7,0.8428571428571396,7
14,0.47857142857142776,14
6,1.0666666666666629,6
16,0.5062499999999979,16
6,1.0166666666666704,6
15,0.33999999999999775,15
8,0.8125,8
15,0.44666666666666593,15
6,1.0,6
14,0.4642857142857143,14
6,1.0833333333333333,6
15,0.2533333333333303,15
7,0.8857142857142922,7
14,0.2857142857142857,14
6,1.016666666666661,6
15,0.4399999999999977,15
7,0.9285714285714286,7
14,0.35714285714285715,14
6,1.0833333333333333,6
18,0.2833333333333346,18
7,0.7714285714285845,7
14,0.4785714285714237,14
6,1.0666666666666818,6
17,0.41764705882353076,17
6,0.9833333333333295,6
14,0.2928571428571445,14
8,0.75,8
15,0.4466666666666621,15
6,1.0666666666666818,6
14,0.44999999999999674,14
6,1.1166666666666742,6
15,0.26666666666666666,15
7,0.8571428571428571,7
14,0.2714285714285682,14
6,1.0500000000000114,6
17,0.4352941176470575,17
7,0.8000000000000033,7
14,0.2571428571428588,14
6,1.0666666666666629,6
16,0.25625000000000137,16
7,0.8428571428571396,7
13,0.27692307692307866,13
6,1.0666666666666629,6
15,0.3400000000000015,15
6,1.0,6
15,0.4400000000000015,15
8,0.8125,8
15,0.4466666666666697,15
6,1.0,6
14,0.4642857142857143,14
6,1.0833333333333333,6
15,0.26666666666666666,15
7,0.8571428571428571,7
14,0.2857142857142857,14
6,1.0166666666666704,6
15,0.44666666666666965,15
7,0.9285714285714286,7
15,0.46000000000000607,15
6,1.0166666666666704,6
17,0.2764705882352901,17
7,0.7571428571428669,7
13,0.2615384615384598,13
6,1.1166666666666742,6
17,0.4235294117647085,17
6,0.9833333333333295,6
14,0.27142857142856813,14
8,0.7875000000000085,8
15,0.45333333333333026,15
6,1.0666666666666818,6
15,0.5466666666666697,15
6,1.0666666666666629,6
15,0.24000000000000152,15
7,0.914285714285711,7
14,0.2928571428571445,14
6,1.0,6
18,0.455555555555558,18
7,0.8000000000000033,7
14,0.2928571428571445,14
6,0.9833333333333295,6
17,0.3000000000000013,17
7,0.8571428571428571,7
14,0.5,14
6,1.0166666666666704,6
14,0.2857142857142857,14
6,1.0,6
14,0.2857142857142857,14
8,0.7625000000000028,8
16,0.4812500000000028,16
6,1.0666666666666629,6
14,0.36428571428571593,14
6,1.033333333333341,6
15,0.24666666666666212,15
7,0.9000000000000098,7
15,0.3400000000000015,15
6,1.0666666666666629,6
15,0.3400000000000015,15
7,0.8857142857142922,7
14,0.36428571428571593,14
6,1.0833333333333333,6
18,0.2833333333333346,18
6,0.8333333333333334,6
14,0.36428571428571593,14
9,0.7333333333333358,9
17,0.30588235294117916,17
7,0.8285714285714383,7
15,0.3466666666666697,15
8,0.7875000000000084,8
15,0.3400000000000015,15
6,1.033333333333341,6
14,0.36428571428571593,14
6,1.1166666666666742,6
16,0.32500000000000284,16
7,0.914285714285711,7
15,0.3400000000000015,15
5,1.0,5
17,0.3000000000000013,17
7,0.8142857142857208,7
15,0.3400000000000015,15
6,1.0,6
17,0.30000000000000127,17
6,0.8333333333333144,6
14,0.364285714285724,14
6,1.0166666666666515,6
15,0.3399999999999939,15
5,0.9800000000000182,5
15,0.3466666666666697,15
8,0.7375000000000114,8
15,0.3466666666666697,15
6,1.0666666666666818,6
14,0.37142857142857466,14
6,1.033333333333341,6
16,0.3187499999999943,16
6,0.8166666666666819,6
15,0.3466666666666697,15
6,1.0499999999999925,6
15,0.3400000000000091,15
7,0.9285714285714286,7
14,0.37142857142857466,14
6,1.0833333333333333,6
18,0.2888888888888914,18
7,0.7714285714285845,7
14,0.3714285714285746,14
7,0.971428571428565,7
17,0.30588235294117916,17
7,0.8714285714285909,7
15,0.3466666666666697,15
8,0.7375000000000114,8
15,0.3466666666666697,15
7,0.9285714285714286,7
14,0.37142857142857466,14
7,0.9285714285714286,7
15,0.24666666666666967,15
7,0.8999999999999935,7
15,0.3466666666666697,15
6,1.033333333333341,6
17,0.3058823529411791,17
8,0.7249999999999943,8
15,0.3466666666666697,15
6,1.0833333333333333,6
17,0.30588235294117916,17
7,0.7714285714285845,7
14,0.37142857142857466,14
7,0.9428571428571624,7
16,0.32500000000000284,16
7,0.8714285714285909,7
17,0.30588235294117916,17
6,0.8666666666666742,6
15,0.3466666666666697,15
7,0.9571428571428636,7
13,0.2692307692307692,13
6,1.0999999999999848,6
16,0.3125,16
7,0.7285714285714481,7
15,0.3466666666666697,15
6,1.0999999999999848,6
16,0.3187500000000085,16
8,0.7750000000000057,8
14,0.37142857142857466,14
7,0.9142857142857272,7
18,0.2888888888888914,18
7,0.7714285714285845,7
14,0.37142857142857466,14
6,1.033333333333341,6
17,0.30588235294117916,17
7,0.8714285714285909,7
15,0.3466666666666697,15
8,0.7874999999999943,8
15,0.3466666666666697,15
6,1.0499999999999925,6
14,0.37142857142857466,14
7,0.9285714285714286,7
16,0.32500000000000284,16
8,0.825000000000017,8
15,0.3466666666666696,15
6,1.0166666666666515,6
17,0.30588235294117916,17
8,0.7375000000000114,8
15,0.3466666666666697,15
7,0.9571428571428636,7
17,0.3058823529411791,17
7,0.799999999999987,7
14,0.3642857142857078,14
6,0.8500000000000227,6
15,0.3466666666666697,15
7,0.8857142857142922,7
15,0.3466666666666697,15
8,0.8249999999999886,8
15,0.3400000000000091,15
7,0.8999999999999935,7
14,0.37142857142857466,14
7,0.9142857142857272,7
16,0.32500000000000284,16
8,0.8125,8
15,0.3466666666666696,15
6,1.0166666666666515,6
15,0.3466666666666697,15
7,0.9285714285714286,7
14,0.3642857142857078,14
6,0.8500000000000227,6
18,0.2833333333333282,18
6,0.8166666666666819,6
14,0.37142857142857466,14
7,0.9285714285714286,7
17,0.30588235294117916,17
6,0.9166666666666666,6
16,0.3187499999999943,16
6,0.8333333333333334,6
15,0.340000000000009,15
7,0.8999999999999935,7
14,0.37142857142857466,14
7,1.0,7
16,0.32500000000000273,16
8,0.7874999999999943,8
15,0.3466666666666697,15
6,1.033333333333341,6
17,0.30588235294117916,17
8,0.7375000000000114,8
15,0.3399999999999939,15
6,0.8500000000000227,6
17,0.30588235294117916,17
7,0.8428571428571558,7
14,0.37142857142857466,14
6,1.033333333333341,6
15,0.3466666666666697,15
7,0.8857142857142922,7
15,0.3399999999999939,15
5,0.9800000000000182,5
17,0.30588235294117916,17
7,0.8142857142857208,7
14,0.3642857142857078,14
6,0.8500000000000227,6
16,0.3250000000000028,16
8,0.8125,8
14,0.25,14
7,0.9571428571428636,7
15,0.3466666666666697,15
8,0.8000000000000114,8
14,0.37142857142857466,14
7,0.9142857142857272,7
18,0.28888888888889136,18
7,0.7714285714285845,7
14,0.37142857142857466,14
7,0.9857142857142988,7
17,0.30588235294117916,17
7,0.8714285714285909,7
15,0.3466666666666696,15
8,0.7624999999999886,8
15,0.3466666666666697,15
7,0.8857142857142922,7
14,0.3642857142857078,14
6,0.8500000000000227,6
16,0.32500000000000284,16
8,0.825000000000017,8
15,0.3466666666666697,15
7,0.9142857142857272,7
17,0.3058823529411791,17
8,0.7375000000000114,8
15,0.3466666666666697,15
6,0.9833333333333485,6
17,0.30588235294117916,17
7,0.8428571428571558,7
14,0.37142857142857466,14
7,0.9142857142857272,7
15,0.3466666666666696,15
7,0.8999999999999935,7
15,0.3466666666666697,15
8,0.8125,8
15,0.3466666666666697,15
7,0.9142857142857272,7
14,0.3714285714285746,14
5,0.7,5
17,0.4882352941176444,17
7,0.8142857142857208,7
15,0.3466666666666697,15
7,0.8857142857142922,7
15,0.3466666666666697,15
