Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
16,0.4875000000001819,16
5,0.48000000000174625,5
14,0.5428571428565192,14
5,1.0200000000011642,5
19,0.40526315789534956,19
6,0.4166666666666667,6
15,0.5133333333331394,15
5,0.4599999999976717,5
16,0.4937500000005457,16
8,0.5124999999989086,8
14,0.42857142857142855,14
6,0.8333333333333334,6
16,0.3187500000003638,16
5,0.5,5
15,0.5133333333331394,15
5,1.0,5
16,0.3187500000003638,16
7,0.37142857142940294,7
15,0.5,15
7,0.7428571428567271,7
17,0.452941176471273,17
4,0.5999999999985448,4
15,0.5133333333331394,15
4,1.25,4
18,0.28333333333365673,18
5,0.47999999999883586,5
14,0.557142857143065,14
6,0.39999999999902985,6
18,0.43888888888937394,18
7,0.35714285714285715,7
15,0.5066666666660846,15
6,0.8333333333333334,6
15,0.32666666666724875,15
5,0.5,5
14,0.5428571428565192,14
6,0.8333333333333334,6
15,0.34000000000038805,15
6,0.43333333333430346,6
16,0.47499999999945436,16
6,0.8500000000009701,6
15,0.520000000000194,15
6,0.4166666666666667,6
14,0.5428571428565192,14
5,1.0,5
18,0.28333333333365673,18
7,0.3714285714273241,7
15,0.5066666666670547,15
5,0.4599999999976717,5
16,0.4937500000005457,16
8,0.5999999999985448,8
13,0.40000000000089553,13
7,0.7285714285701813,7
16,0.3062500000005457,16
4,0.5999999999985448,4
13,0.5846153846158324,13
7,0.7285714285701813,7
16,0.3187500000003638,16
8,0.3250000000007276,8
16,0.4812499999998181,16
8,0.6499999999996362,8
18,0.4444444444444444,18
4,0.5749999999970896,4
14,0.5642857142863379,14
6,0.8666666666661816,6
18,0.28333333333365673,18
5,0.47999999999883586,5
14,0.5499999999997921,14
5,0.4399999999994179,5
18,0.43888888888937394,18
7,0.5142857142865458,7
14,0.4785714285712207,14
8,0.6374999999989086,8
16,0.3187500000003638,16
5,0.47999999999883586,5
13,0.5923076923074684,13
7,0.7142857142857143,7
15,0.34000000000038805,15
6,0.43333333333430346,6
17,0.45294117647041704,17
6,0.8833333333338184,6
15,0.520000000000194,15
6,0.39999999999902985,6
14,0.5499999999997921,14
5,1.0,5
20,0.25500000000029105,20
5,0.4599999999976717,5
15,0.5266666666672487,15
5,0.46000000000058205,5
15,0.520000000000194,15
8,0.3374999999996362,8
14,0.5214285714287793,14
6,0.8499999999985448,6
17,0.3000000000003424,17
4,0.5749999999970896,4
13,0.5923076923085878,13
7,0.7285714285701813,7
16,0.3125,16
6,0.4000000000014552,6
17,0.45294117647041704,17
6,0.8499999999985448,6
17,0.3000000000003424,17
4,0.5749999999970896,4
13,0.5923076923085878,13
6,0.8499999999985448,6
17,0.3000000000003424,17
6,0.4166666666666667,6
14,0.5428571428565192,14
5,0.42000000000116416,5
16,0.5,16
7,0.3428571428563113,7
15,0.5133333333331394,15
8,0.625,8
16,0.3187500000003638,16
5,0.47999999999883586,5
14,0.5428571428575586,14
6,0.8499999999985448,6
15,0.34000000000038805,15
9,0.377777777777131,9
16,0.4312500000005457,16
7,0.7285714285701813,7
16,0.3187500000003638,16
5,0.47999999999883586,5
14,0.5499999999997921,14
5,1.0,5
20,0.25500000000029105,20
5,0.4399999999994179,5
13,0.6000000000002239,13
6,0.3666666666661816,6
15,0.5266666666662786,15
8,0.5,8
14,0.4214285714291951,14
6,0.8499999999985448,6
16,0.3187500000003638,16
5,0.47999999999883586,5
15,0.5133333333331394,15
5,1.0,5
15,0.34000000000038805,15
8,0.3125,8
16,0.4875000000001819,16
7,0.7285714285701813,7
17,0.3000000000003424,17
4,0.5499999999992724,4
14,0.5642857142852985,14
5,0.9800000000017463,5
18,0.2888888888887272,18
5,0.5,5
13,0.5846153846158324,13
6,0.3666666666661816,6
16,0.4937499999996362,16
8,0.3250000000007276,8
15,0.49333333333294527,15
6,0.8333333333333334,6
15,0.32666666666724875,15
5,0.47999999999883586,5
14,0.5428571428575586,14
6,0.8499999999985448,6
15,0.3333333333333333,15
5,0.48000000000174625,5
16,0.4812499999998181,16
7,0.7285714285701813,7
16,0.3187500000003638,16
5,0.47999999999883586,5
14,0.5642857142863379,14
6,0.8333333333333334,6
20,0.25999999999985446,20
5,0.4399999999994179,5
15,0.5333333333333333,15
5,0.46000000000058205,5
16,0.5,16
8,0.3374999999996362,8
15,0.5,15
6,0.8499999999985448,6
15,0.3333333333333333,15
5,0.46000000000058205,5
14,0.557142857143065,14
7,0.7285714285701813,7
16,0.3125,16
6,0.3833333333338184,6
16,0.4875000000001819,16
7,0.7428571428567271,7
17,0.3000000000003424,17
4,0.5750000000007276,4
15,0.520000000000194,15
4,1.25,4
17,0.2999999999994864,17
5,0.46000000000058205,5
14,0.5428571428575586,14
5,0.4399999999994179,5
17,0.47058823529411764,17
8,0.5874999999996362,8
14,0.39285714285714285,14
8,0.6374999999989086,8
16,0.3125,16
4,0.5250000000014552,4
14,0.5714285714285714,14
7,0.7142857142857143,7
15,0.34666666666647267,15
7,0.3428571428563113,7
18,0.43888888888937394,18
5,1.0199999999982539,5
15,0.34000000000038805,15
6,0.39999999999902985,6
14,0.557142857143065,14
6,0.8500000000009701,6
20,0.25999999999985446,20
5,0.46000000000058205,5
14,0.5642857142852985,14
5,0.42000000000116416,5
17,0.4647058823525988,17
6,0.6500000000014552,6
15,0.4133333333331393,15
6,0.8500000000009701,6
15,0.33999999999941793,15
5,0.46000000000058205,5
15,0.5066666666670547,15
5,1.0,5
15,0.33999999999941793,15
7,0.30000000000083155,7
16,0.5,16
7,0.7285714285701813,7
17,0.29411764705882354,17
3,0.7000000000019403,3
14,0.5642857142852985,14
5,0.9800000000017463,5
17,0.3058823529410053,17
6,0.39999999999902985,6
14,0.5500000000008315,14
5,0.4399999999994179,5
17,0.47058823529411764,17
8,0.3499999999985448,8
14,0.5142857142865458,14
7,0.7142857142857143,7
16,0.3187499999994543,16
4,0.5250000000014552,4
14,0.5714285714285714,14
7,0.7142857142857143,7
17,0.2999999999994864,17
3,0.7000000000019403,3
18,0.4444444444444444,18
5,1.0199999999982539,5
16,0.3187500000003638,16
5,0.4599999999976717,5
15,0.5266666666672487,15
5,1.0,5
20,0.25499999999956346,20
4,0.5250000000014552,4
14,0.5714285714285714,14
6,0.3666666666661816,6
17,0.4647058823525988,17
6,0.4166666666666667,6
14,0.5428571428575586,14
8,0.6625000000003638,8
15,0.34666666666647267,15
6,0.3833333333338184,6
16,0.5,16
5,1.0,5
15,0.33999999999941793,15
8,0.2625000000007276,8
16,0.5,16
8,0.6499999999996362,8
17,0.29411764705882354,17
3,0.7000000000019403,3
14,0.5642857142852985,14
5,1.0,5
17,0.3000000000003424,17
6,0.39999999999902985,6
14,0.5500000000008315,14
5,0.4399999999994179,5
17,0.47058823529411764,17
8,0.3125,8
14,0.5357142857142857,14
7,0.7142857142857143,7
16,0.3187499999994543,16
4,0.5250000000014552,4
15,0.5333333333333333,15
7,0.7428571428567271,7
17,0.2999999999994864,17
3,0.7000000000019403,3
18,0.4444444444444444,18
5,1.0199999999982539,5
16,0.3125,16
4,0.5250000000014552,4
15,0.5333333333333333,15
5,1.0399999999994178,5
21,0.376190476190199,21
4,0.5250000000014552,4
14,0.5714285714285714,14
6,0.3666666666661816,6
17,0.4647058823525988,17
4,0.5250000000014552,4
15,0.5333333333333333,15
9,0.5888888888892123,9
16,0.3249999999998181,16
5,0.4399999999994179,5
15,0.520000000000194,15
6,0.8666666666661816,6
16,0.3125,16
6,0.3666666666661816,6
16,0.5,16
7,0.7285714285722601,7
17,0.2999999999994864,17
3,0.6666666666666666,3
15,0.5333333333333333,15
4,1.2250000000021828,4
17,0.3058823529410053,17
6,0.3666666666661816,6
14,0.5642857142863379,14
5,0.4399999999994179,5
17,0.47058823529411764,17
8,0.6000000000003638,8
14,0.39285714285714285,14
8,0.625,8
16,0.3187499999994543,16
4,0.5250000000014552,4
14,0.5642857142852985,14
6,0.8000000000004851,6
15,0.35333333333352734,15
9,0.3333333333333333,9
18,0.40555555555571726,18
5,1.0,5
15,0.34666666666647267,15
6,0.3499999999985448,6
14,0.5714285714285714,14
5,0.9800000000017463,5
20,0.25499999999956346,20
4,0.5,4
14,0.5714285714285714,14
5,0.4,5
16,0.5,16
7,0.6428571428571429,7
15,0.36666666666666664,15
5,0.9800000000017463,5
17,0.2999999999994864,17
3,0.6666666666666666,3
14,0.5714285714285714,14
7,0.7285714285722601,7
17,0.3058823529410053,17
6,0.3666666666661816,6
17,0.47058823529411764,17
6,0.8500000000009701,6
16,0.3249999999998181,16
5,0.4399999999994179,5
15,0.520000000000194,15
4,1.25,4
18,0.28333333333284827,18
4,0.5250000000014552,4
14,0.5714285714285714,14
6,0.3499999999985448,6
18,0.4444444444444444,18
6,0.4833333333347885,6
16,0.4499999999998181,16
6,0.8333333333333334,6
16,0.3249999999998181,16
5,0.46000000000058205,5
15,0.5266666666662786,15
5,0.9800000000017463,5
17,0.2999999999994864,17
3,0.6666666666666666,3
18,0.45000000000032336,18
5,1.0200000000011642,5
15,0.33999999999941793,15
5,0.4,5
15,0.5400000000003881,15
6,0.8833333333338184,6
