Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
346,0.013294797687878085,16
339,0.01799410029500241,3
344,0.014825581395365748,11
332,0.012951807228880587,4
353,0.016713881019895977,16
276,0.016304347826086946,4
309,0.019417475728155328,10
347,0.012968299711815552,7
296,0.019256756756796074,15
305,0.01573770491809003,6
291,0.01993127147772323,4
218,0.014678899082622196,4
369,0.015989159891662004,2
406,0.013300492610823096,5
340,0.014411764705865223,3
361,0.01689750692522387,2
268,0.014925373134328346,4
323,0.015789473684228537,5
293,0.01740614334472975,2
281,0.021708185053401486,2
272,0.01875000000002139,7
362,0.014088397790071318,2
221,0.01855203619912135,4
425,0.012941176470588229,5
466,0.013304721030067895,2
392,0.011479591836734684,5
319,0.015987460815156493,4
411,0.01313868613137269,5
357,0.015966386554572925,1
355,0.012112676056387208,8
388,0.01288659793814432,2
439,0.012072892938536353,5
383,0.013054830287206259,2
383,0.015926892950406835,2
327,0.015596330275247148,6
242,0.017355371900754278,4
231,0.021212121212221994,2
318,0.01666666666663005,4
332,0.017771084337419522,3
368,0.011413043478292495,5
328,0.015853658536620848,4
359,0.01532033426183843,5
376,0.01648936170215861,2
341,0.012609970674538002,6
323,0.015170278637752867,2
317,0.01892744479495267,2
364,0.014010989011004992,4
318,0.011635220125822758,6
374,0.013636363636379191,2
264,0.01477272727270521,15
374,0.015508021390421008,18
460,0.012826086956509072,22
401,0.011221945137229669,22
398,0.014321608040230237,18
325,0.017230769230787125,14
322,0.015838509316788246,18
365,0.012876712328799004,16
425,0.013411764705909728,15
304,0.016776315789492815,13
360,0.012499999999999985,16
275,0.020363636363657518,17
595,0.008739495798338884,15
321,0.01588785046730784,12
373,0.013672922252026315,18
314,0.01624203821657903,14
389,0.012339331619582151,17
316,0.017405063291139222,12
343,0.012244897959217599,21
374,0.014171122994621267,13
367,0.012534059945519933,15
356,0.016011235955088864,15
352,0.012499999999983448,17
310,0.019032258064591225,15
444,0.011261261261261249,15
316,0.016772151898789424,14
361,0.011634349030503147,17
376,0.013563829787249512,15
380,0.013421052631594252,14
363,0.012672176308555966,13
348,0.014367816091954007,17
334,0.017664670658752334,18
353,0.01444759206800514,14
389,0.011053984575880351,13
481,0.011018711018686804,18
376,0.015691489361764035,13
473,0.008668076109887339,18
426,0.012441314554099909,10
448,0.01272321428574026,18
394,0.014213197969557907,12
385,0.011948051948067053,18
324,0.014814814814868694,13
437,0.013958810068663194,18
363,0.01322314049591586,17
418,0.012918660287067401,12
334,0.015868263473106162,14
335,0.015522388059736228,18
363,0.012947658402235912,17
348,0.014655172413809814,16
254,0.020078740157503217,13
338,0.012426035502993007,17
362,0.01878453038670816,17
381,0.013910761154901462,14
368,0.013858695652189716,12
379,0.011873350923482835,19
384,0.01302083333340911,14
380,0.01552631578945835,17
341,0.015542521994186091,12
345,0.012753623188388909,18
336,0.016369047619134224,16
521,0.010364683301332386,14
433,0.010161662817605725,16
361,0.01191135734076858,16
422,0.011848341232227475,14
438,0.014611872146171868,16
368,0.011141304347841887,12
460,0.011739130434833213,20
367,0.016348773841961838,17
302,0.017218543046396147,15
422,0.011611374407569132,14
361,0.014958448753527085,15
371,0.013746630727778479,18
390,0.013076923076937988,15
339,0.012094395280253148,12
449,0.010913140311791036,19
394,0.01370558375640426,16
420,0.012380952380980087,12
297,0.01683501683501682,13
367,0.01444141689378054,15
386,0.011398963730554853,18
484,0.010950413223236696,14
446,0.011210762331838552,15
622,0.008199356913192627,17
376,0.010638297872340411,13
358,0.014245810055882168,18
373,0.013404825737265402,11
380,0.01315789473691868,19
253,0.01699604743078401,17
289,0.017647058823549538,14
348,0.012643678160986433,12
384,0.01354166666669697,16
373,0.016085790884718485,19
460,0.011086956521751772,13
382,0.01335078534032936,13
346,0.012716763005763508,18
369,0.015989159891662,13
363,0.012121212121196072,18
409,0.013202933985386987,10
343,0.016618075801783195,17
360,0.011666666666698992,19
301,0.020930232558100843,12
350,0.014571428571445187,15
334,0.015269461077861722,17
387,0.013178294573658439,16
363,0.01349862258951563,13
340,0.015294117647093047,15
391,0.011253196931005823,17
357,0.017086834733909848,16
372,0.013709677419370469,13
294,0.01632653061230428,13
330,0.014242424242459506,15
339,0.017699115044247777,18
266,0.019172932330848932,15
279,0.01827956989249397,14
353,0.014730878187001802,16
390,0.011282051282036343,18
485,0.012164948453656241,12
346,0.014739884393080391,13
370,0.014054054054085502,16
335,0.012537313432870562,14
337,0.018100890207732392,17
326,0.015644171779158944,13
350,0.014571428571445189,7
326,0.014110429447870599,16
470,0.011914893617033651,8
269,0.01895910780671307,12
384,0.013281250000015144,6
297,0.013804713804733389,13
386,0.013212435233175685,9
367,0.012261580381471375,13
362,0.016022099447562037,6
330,0.015454545454563082,17
390,0.013076923076937991,9
316,0.015189873417776762,12
366,0.01502732240437157,6
382,0.012565445026223709,16
426,0.012910798122065715,10
277,0.018050541516245473,11
362,0.014640883977948776,7
364,0.014010989011004988,13
406,0.012561576354694124,10
391,0.013043478260884438,12
383,0.01331592689296558,3
327,0.014373088685050875,15
376,0.01489361702129206,8
344,0.014825581395365743,12
385,0.013246753246768352,6
377,0.013527851458901367,15
385,0.013246753246768354,7
357,0.012605042016806707,13
344,0.016860465116329815,5
374,0.013636363636379186,17
430,0.011860465116292594,10
390,0.011794871794886707,10
339,0.016814159292069725,6
555,0.007207207207207198,16
274,0.018613138686152615,7
332,0.01536144578315005,12
572,0.008916083916094083,6
442,0.011538461538474695,15
319,0.015987460815065253,9
364,0.010989010989010976,14
364,0.016483516483516474,6
311,0.016720257234764103,13
372,0.013709677419370474,9
317,0.016088328075728124,11
417,0.012230215827352078,7
369,0.013821138211397877,14
357,0.012044817927219767,12
399,0.015037593984962393,12
363,0.014049586776875525,7
299,0.015384615384634837,19
349,0.01575931232091689,7
320,0.01687500000007275,12
556,0.009172661870514057,6
438,0.011643835616451633,15
426,0.011971830985929145,8
368,0.013043478260917002,11
382,0.01439790575916229,6
416,0.012019230769230756,16
420,0.012619047619089184,8
378,0.013492063492078876,13
437,0.011670480549212395,4
379,0.013456464379962573,15
395,0.012911392405078014,9
386,0.013212435233175687,11
400,0.013000000000029092,5
303,0.016831683168336026,15
196,0.021428571428630805,8
375,0.016266666666682174,12
385,0.013246753246768354,6
344,0.014534883720930217,16
383,0.013838120104484219,9
378,0.013492063492078876,13
431,0.012064965197242778,5
386,0.013212435233175687,15
413,0.010653753026620276,10
375,0.015200000000031034,9
355,0.012957746478889627,9
316,0.017088607595010376,13
333,0.014114114114149062,9
421,0.014489311163909304,12
7,0.014285714286545815,1
273,0.014652014652014645,16
293,0.015699658702992197,17
299,0.01404682274231917,17
320,0.015937499999927236,16
330,0.0148484848485554,18
305,0.018360655737628573,15
334,0.016766467065798547,18
308,0.014610389610200619,20
335,0.014925373134328353,14
379,0.012664907651684315,19
327,0.017125382262925735,18
439,0.01138952163995852,18
335,0.016119402984970367,16
335,0.01731343283578614,17
339,0.014749262536873151,18
362,0.014088397789990926,16
287,0.015679442508710794,16
298,0.01711409395945808,19
295,0.019661016949310387,17
386,0.011398963730479465,16
390,0.013076923076863372,16
351,0.015099715099681926,19
424,0.013915094339540269,15
356,0.013202247191043933,21
339,0.01297935103234535,16
337,0.01632047477727534,17
358,0.01592178770936713,15
423,0.012056737588597436,21
318,0.014465408804958224,16
286,0.018881118881200285,18
416,0.014182692307608352,14
305,0.014426229508082209,20
352,0.013636363636165195,17
419,0.013365155131348264,19
352,0.013352272727140435,17
351,0.011680911680845342,16
394,0.014974619289399194,14
424,0.012028301886737536,20
372,0.013978494623530732,17
334,0.013173652694506209,16
386,0.01424870466321243,15
374,0.015508021390187565,18
340,0.014999999999931516,16
386,0.012953367875647664,17
321,0.012772585669709393,16
335,0.018507462686428156,16
369,0.01246612466118351,18
403,0.013895781637659343,17
353,0.010764872521213475,18
363,0.017906336087993913,16
361,0.012465373961057591,16
347,0.01066282420752634,18
464,0.010991379310294645,15
341,0.015249266862033525,17
384,0.015104166666636344,19
470,0.012127659574369004,17
438,0.009360730593554144,16
368,0.016032608695557265,15
384,0.013541666666696978,17
359,0.010306406685107052,18
338,0.017159763313575018,17
404,0.0131188118811593,19
490,0.011836734693853787,19
510,0.011176470588143984,15
310,0.012903225806263841,16
479,0.011273486430111234,18
362,0.015469613259604185,15
382,0.013089005235449714,20
282,0.017730496453900707,15
469,0.011087420042544632,18
400,0.01274999999994179,19
383,0.012793733681370949,16
379,0.011081794195281372,15
346,0.020231213872664133,18
414,0.011111111111054868,17
341,0.01642228738996104,16
379,0.013456464379885793,16
391,0.012531969309373591,19
350,0.012857142857142852,19
366,0.013934426229444574,16
479,0.00897703549058112,16
453,0.011258278145643962,19
372,0.01505376344064115,18
401,0.010723192019921089,16
388,0.014432989690661637,16
363,0.014876033057915376,18
374,0.014705882352785537,12
377,0.012466843501357135,23
344,0.014244186046410097,16
312,0.01698717948714217,17
428,0.013785046728890358,14
375,0.00906666666657353,20
347,0.017002881844279755,16
307,0.020846905537345518,17
321,0.01588785046721718,16
354,0.014406779660951172,19
329,0.01246200607895658,16
360,0.01472222222218988,18
391,0.014578005115119284,17
364,0.014835164835068883,16
364,0.014010989010925038,15
420,0.010714285714285711,21
323,0.015170278637662767,14
383,0.01357702349857293,20
422,0.01208530805681686,15
455,0.01142857142859701,18
514,0.011673151750859515,12
360,0.0130555555554262,23
415,0.013253012048192767,14
339,0.009439528023633155,18
370,0.016216216216058895,18
388,0.013659793814252958,18
357,0.016246498599570208,11
348,0.013505747126302967,25
438,0.009360730593554144,17
399,0.015288220551320088,17
307,0.013680781758805967,17
392,0.015816326530493446,19
353,0.015297450424995132,19
509,0.008644400785785999,16
399,0.012781954887159688,15
387,0.010852713178174241,20
442,0.011764705882379276,16
383,0.013054830287054283,17
417,0.01223021582728229,15
419,0.010739856801909304,19
414,0.013043478260785201,16
503,0.009145129224605796,20
750,0.008266666666604574,15
746,0.006032171581769435,19
127,0.044094488188793045,19
549,0.01001821493624772,17
503,0.008747514910467342,17
369,0.014905149051332766,18
378,0.011904761904607911,20
436,0.01559633027520265,16
396,0.012121212121182716,15
370,0.013783783783720851,20
400,0.012999999999883579,17
385,0.01012987012977941,15
415,0.0161445783131408,15
367,0.012261580381471385,21
287,0.018118466898792446,16
441,0.012698412698359899,16
383,0.010704960835448342,16
408,0.012745098039244215,17
293,0.020477815699460035,14
360,0.014166666666601987,18
481,0.009563409563361153,20
443,0.013318284424300391,16
358,0.012011173184325019,19
341,0.014956011730136994,19
313,0.01629392971238567,15
480,0.011458333333333329,20
345,0.01565217391294224,17
318,0.013836477987311552,15
236,0.022881355932055397,16
367,0.014986376021798357,19
435,0.012643678160785725,19
370,0.012432432432369498,16
387,0.013695090439095992,17
423,0.015602836879377574,17
432,0.010879629629521834,18
362,0.010773480663047738,18
385,0.01610389610377515,16
452,0.011061946902654862,19
728,0.00851648351641955,17
499,0.010020040080043669,21
640,0.008906250000018188,14
705,0.006099290780125328,19
640,0.006718749999981809,17
678,0.01002949852497072,16
406,0.009113300492496139,6
108,0.012962962963178545,4
722,0.011080332409972294,15
596,0.015436241610855446,23
632,0.01645569620238428,9
672,0.016071428571324625,14
672,0.01577380952377487,14
592,0.015540540540461875,24
556,0.01798561151058198,10
640,0.015312500000072754,14
624,0.016346153846079216,15
740,0.013783783783720851,22
718,0.012813370473472745,14
594,0.018855218855140455,10
662,0.012386706948570136,14
770,0.011688311688311684,23
646,0.015479876160810497,12
706,0.016430594900816876,11
738,0.01355013550135501,11
726,0.014049586776795358,26
600,0.016999999999922383,10
878,0.011161731207209735,15
752,0.015159574468116064,11
702,0.015099715099516095,25
702,0.01396011396018029,10
642,0.017757009345649322,11
652,0.01533742331288343,15
694,0.013256484149788805,25
572,0.01888111888099676,11
776,0.015463917525773193,13
748,0.010962566844857528,17
796,0.011557788944665113,24
662,0.01419939577025206,10
536,0.018656716417910443,12
1036,0.009652509652509649,13
832,0.009855769230713258,22
834,0.014868105515615442,11
774,0.013178294573583244,14
590,0.017288135593141407,8
616,0.013961038961001157,29
818,0.01320293398524468,11
624,0.018269230769081515,11
658,0.01550151975676813,14
714,0.012605042016806718,23
640,0.012812499999927235,10
586,0.022866894197793284,12
788,0.012690355329949233,15
862,0.010672853828252239,24
712,0.01516853932574459,11
596,0.015436241610660118,13
678,0.014749262536873151,15
652,0.013803680981595087,25
714,0.01456582633040177,12
640,0.011874999999963616,11
808,0.016831683168288012,11
640,0.016562499999963613,24
608,0.015460526315444817,12
596,0.015771812080575973,13
804,0.015174129353175908,12
776,0.01185567010303277,24
646,0.0164086687304339,13
702,0.01595441595451545,11
664,0.012048192771084333,14
682,0.013196480938416418,24
672,0.015178571428328892,9
774,0.013953488372153182,12
716,0.01703910614518636,16
