Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
22,0.2318181818181818,22
11,0.4636363636363635,11
19,0.27368421052631575,19
13,0.39230769230769236,13
20,0.255,20
13,0.3923076923076923,13
18,0.28888888888888886,18
13,0.39230769230769236,13
22,0.23636363636363636,22
13,0.40769230769230774,13
18,0.288888888888889,18
12,0.42500000000000004,12
19,0.25789473684210523,19
14,0.37142857142857144,14
18,0.2944444444444445,18
12,0.4333333333333333,12
23,0.22608695652173919,23
13,0.38461538461538464,13
20,0.24999999999999994,20
11,0.45454545454545453,11
19,0.26842105263157895,19
14,0.3642857142857143,14
17,0.2941176470588236,17
14,0.3642857142857143,14
20,0.25,20
13,0.4,13
18,0.288888888888889,18
11,0.4454545454545455,11
22,0.23181818181818184,22
13,0.38461538461538464,13
17,0.30000000000000004,17
12,0.4166666666666667,12
19,0.26842105263157895,19
14,0.35714285714285715,14
17,0.30000000000000004,17
12,0.4333333333333333,12
23,0.21739130434782608,23
15,0.33999999999999997,15
20,0.265,20
11,0.45454545454545453,11
19,0.26842105263157895,19
12,0.4166666666666667,12
19,0.26842105263157895,19
13,0.3846153846153845,13
19,0.26842105263157895,19
13,0.37692307692307697,13
17,0.2941176470588236,17
12,0.4166666666666667,12
22,0.23636363636363636,22
13,0.39230769230769236,13
18,0.2833333333333333,18
11,0.47272727272727283,11
20,0.255,20
13,0.38461538461538464,13
17,0.30000000000000004,17
13,0.4,13
23,0.22608695652173919,23
15,0.3466666666666667,15
20,0.26000000000000006,20
10,0.5,10
20,0.26,20
13,0.38461538461538464,13
17,0.29411764705882354,17
14,0.3642857142857143,14
20,0.255,20
13,0.3846153846153845,13
18,0.28888888888888886,18
12,0.4416666666666667,12
22,0.23636363636363633,22
14,0.36428571428571427,14
17,0.3058823529411765,17
11,0.4545454545454545,11
19,0.26842105263157895,19
13,0.37692307692307697,13
18,0.2888888888888889,18
11,0.4636363636363636,11
23,0.22173913043478263,23
14,0.3642857142857143,14
20,0.255,20
11,0.45454545454545453,11
19,0.26842105263157895,19
14,0.3642857142857144,14
19,0.27368421052631575,19
13,0.3923076923076923,13
20,0.255,20
13,0.38461538461538464,13
18,0.2888888888888889,18
12,0.4166666666666666,12
22,0.23636363636363636,22
13,0.3923076923076923,13
17,0.30000000000000004,17
13,0.4,13
20,0.26,20
15,0.3466666666666667,15
17,0.30000000000000004,17
13,0.4,13
23,0.22608695652173919,23
15,0.3466666666666666,15
20,0.265,20
12,0.43333333333333335,12
20,0.25,20
11,0.45454545454545453,11
19,0.27368421052631575,19
14,0.35714285714285715,14
20,0.26,20
13,0.3846153846153847,13
18,0.288888888888889,18
12,0.4333333333333334,12
22,0.23636363636363633,22
14,0.35714285714285715,14
17,0.3058823529411765,17
12,0.4166666666666666,12
19,0.26842105263157895,19
14,0.35000000000000003,14
17,0.3058823529411765,17
12,0.43333333333333335,12
22,0.22727272727272732,22
13,0.3923076923076923,13
20,0.24499999999999997,20
13,0.4,13
20,0.26,20
12,0.425,12
19,0.26842105263157895,19
14,0.37142857142857144,14
20,0.26,20
13,0.38461538461538464,13
18,0.2888888888888889,18
13,0.4,13
22,0.23636363636363633,22
13,0.39230769230769236,13
17,0.2882352941176471,17
14,0.37142857142857144,14
20,0.26,20
14,0.3642857142857143,14
17,0.3058823529411765,17
13,0.4,13
23,0.21739130434782605,23
15,0.3466666666666666,15
20,0.265,20
11,0.4727272727272727,11
20,0.26,20
13,0.38461538461538464,13
18,0.288888888888889,18
15,0.3466666666666667,15
20,0.26,20
14,0.37142857142857144,14
17,0.30000000000000004,17
12,0.42500000000000004,12
22,0.23636363636363636,22
14,0.35714285714285715,14
17,0.3058823529411765,17
13,0.4,13
19,0.26842105263157895,19
15,0.34,15
17,0.3058823529411765,17
12,0.43333333333333335,12
23,0.22173913043478263,23
13,0.38461538461538464,13
19,0.26842105263157895,19
13,0.4,13
19,0.26842105263157895,19
13,0.39230769230769236,13
19,0.2736842105263158,19
14,0.37142857142857144,14
19,0.26842105263157895,19
12,0.40833333333333344,12
18,0.2777777777777778,18
13,0.4,13
22,0.23636363636363633,22
14,0.3714285714285714,14
17,0.3058823529411765,17
13,0.4076923076923077,13
20,0.255,20
14,0.3642857142857143,14
16,0.31875,16
13,0.39230769230769236,13
24,0.22083333333333335,24
15,0.34,15
19,0.26842105263157895,19
12,0.4333333333333333,12
20,0.255,20
14,0.36428571428571427,14
17,0.30000000000000004,17
15,0.34,15
19,0.26842105263157895,19
14,0.3642857142857143,14
17,0.30000000000000004,17
12,0.425,12
22,0.2409090909090909,22
15,0.3533333333333334,15
16,0.31875,16
13,0.39230769230769236,13
20,0.265,20
15,0.3333333333333333,15
17,0.3058823529411765,17
12,0.42500000000000004,12
22,0.22727272727272727,22
12,0.4083333333333334,12
20,0.26,20
13,0.4,13
22,0.24090909090909093,22
13,0.4000000000000001,13
19,0.2736842105263158,19
14,0.37142857142857144,14
19,0.26842105263157895,19
14,0.3642857142857143,14
18,0.288888888888889,18
13,0.39999999999999997,13
22,0.24090909090909093,22
15,0.3466666666666667,15
16,0.31875,16
12,0.425,12
20,0.25999999999999995,20
14,0.3642857142857143,14
17,0.3058823529411765,17
13,0.39230769230769236,13
22,0.23181818181818184,22
14,0.36428571428571427,14
19,0.26315789473684204,19
12,0.4166666666666667,12
19,0.26842105263157895,19
13,0.39999999999999997,13
19,0.27368421052631575,19
15,0.3466666666666666,15
19,0.27368421052631586,19
14,0.3642857142857143,14
17,0.30000000000000004,17
12,0.42500000000000004,12
21,0.23809523809523808,21
14,0.35714285714285715,14
16,0.31875,16
13,0.37692307692307697,13
19,0.2736842105263158,19
15,0.3466666666666667,15
16,0.3125,16
12,0.42500000000000004,12
23,0.22608695652173913,23
14,0.3714285714285714,14
19,0.2736842105263158,19
12,0.4083333333333334,12
19,0.26842105263157895,19
13,0.38461538461538464,13
16,0.30625,16
15,0.3466666666666667,15
19,0.26842105263157895,19
13,0.37692307692307697,13
17,0.3058823529411765,17
13,0.39230769230769236,13
21,0.24285714285714288,21
13,0.38461538461538464,13
17,0.30000000000000004,17
13,0.4000000000000001,13
20,0.25999999999999995,20
14,0.37142857142857144,14
16,0.3125,16
13,0.39230769230769236,13
22,0.23636363636363641,22
15,0.3466666666666666,15
19,0.2736842105263158,19
12,0.425,12
19,0.26842105263157895,19
13,0.37692307692307697,13
17,0.30588235294117644,17
15,0.3266666666666666,15
19,0.26842105263157895,19
13,0.37692307692307686,13
17,0.3,17
12,0.425,12
21,0.24285714285714288,21
14,0.35000000000000003,14
16,0.31875,16
12,0.4083333333333334,12
19,0.2736842105263158,19
15,0.34,15
16,0.31875,16
12,0.42500000000000004,12
23,0.2217391304347826,23
15,0.34,15
19,0.26842105263157895,19
13,0.39230769230769236,13
19,0.26842105263157895,19
14,0.35000000000000003,14
17,0.30000000000000004,17
13,0.37692307692307697,13
19,0.26842105263157895,19
13,0.37692307692307697,13
17,0.30000000000000004,17
13,0.39230769230769236,13
21,0.24285714285714283,21
13,0.37692307692307697,13
16,0.31875,16
13,0.39230769230769236,13
19,0.26842105263157895,19
15,0.3266666666666667,15
16,0.31875,16
13,0.39230769230769236,13
22,0.23636363636363636,22
14,0.36428571428571427,14
19,0.26842105263157895,19
13,0.4000000000000001,13
20,0.25999999999999995,20
13,0.3923076923076923,13
17,0.30000000000000004,17
15,0.33999999999999997,15
19,0.2631578947368421,19
13,0.38461538461538464,13
17,0.30000000000000004,17
12,0.425,12
21,0.24285714285714283,21
14,0.3642857142857143,14
17,0.30000000000000004,17
13,0.39230769230769236,13
19,0.26842105263157895,19
14,0.35000000000000003,14
16,0.31875,16
12,0.4166666666666667,12
21,0.23809523809523808,21
14,0.36428571428571427,14
20,0.265,20
14,0.3785714285714285,14
19,0.2736842105263158,19
13,0.37692307692307697,13
17,0.30000000000000004,17
14,0.3642857142857143,14
19,0.26842105263157895,19
13,0.376923076923077,13
17,0.3,17
13,0.39230769230769236,13
21,0.24761904761904757,21
15,0.3533333333333334,15
17,0.3058823529411765,17
16,0.32499999999999996,16
19,0.26842105263157895,19
14,0.35000000000000003,14
16,0.31875,16
13,0.39230769230769236,13
22,0.23181818181818184,22
14,0.3571428571428572,14
18,0.2833333333333334,18
13,0.4,13
20,0.26,20
14,0.37142857142857144,14
17,0.30000000000000004,17
15,0.34,15
