Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
41,0.14634146341463414,29
21,0.17619047619103054,19
29,0.22413793103448276,25
39,0.13076923076863375,29
22,0.22727272727272727,20
30,0.1300000000007761,26
12,0.4666666666647264,12
20,0.27000000000116414,20
16,0.3312499999992724,16
18,0.3277777777774544,18
15,0.36666666666666664,15
20,0.2600000000005821,20
9,0.41111111110917087,9
20,0.33000000000029106,20
10,0.5,10
19,0.2736842105269285,19
19,0.2842105263154831,19
14,0.29285714285755865,14
13,0.4461538461529507,13
19,0.2631578947368421,19
13,0.39230769230814005,13
16,0.24999999999999997,16
14,0.44285714285589556,14
19,0.2736842105269285,19
18,0.28888888888791875,18
18,0.25,18
13,0.43076923076967855,13
22,0.24090909090988466,22
13,0.36923076922987375,13
17,0.3235294117647059,17
12,0.3583333333347885,12
17,0.2588235294114223,17
17,0.34705882352906936,17
16,0.34375,16
16,0.375,16
18,0.2833333333320398,18
17,0.29411764705882354,17
16,0.2687500000010914,16
11,0.5090909090914383,11
18,0.2833333333320398,18
15,0.34000000000038805,15
16,0.3000000000010914,16
14,0.38571428571386995,14
20,0.2649999999994179,20
15,0.3066666666670547,15
19,0.2684210526318853,19
14,0.37857142857059706,14
18,0.2666666666676368,18
15,0.3399999999984478,15
14,0.33571428571511724,14
15,0.3466666666674428,15
19,0.2578947368417989,19
15,0.34000000000038805,15
14,0.2857142857142857,14
12,0.4916666666661816,12
20,0.269999999999709,20
17,0.2764705882359789,17
15,0.3199999999992239,15
14,0.36428571428613005,14
19,0.2842105263154831,19
11,0.3727272727278019,11
18,0.31111111111143447,18
11,0.4090909090909091,11
22,0.2681818181815536,22
20,0.3,20
17,0.2647058823529412,17
12,0.4166666666666667,12
19,0.2578947368433307,19
14,0.41428571428488276,14
17,0.2588235294114223,17
14,0.36428571428613005,14
19,0.2631578947368421,19
14,0.36428571428613005,14
16,0.34375,16
15,0.4,15
21,0.2714285714291258,21
18,0.28888888888791875,18
13,0.3076923076923077,13
10,0.510000000000582,10
18,0.2888888888895356,18
15,0.3466666666655025,15
17,0.2588235294114223,17
14,0.42857142857142855,14
16,0.2687500000010914,16
18,0.3055555555555556,18
18,0.2333333333323632,18
11,0.4818181818197693,11
18,0.28333333333365673,18
18,0.3055555555555556,18
